"성별","연도","교육","지역","월급"
1,2006,4,2,NA
1,2008,4,2,NA
1,1973,5,2,765
2,1978,5,2,82
1,2003,5,2,NA
2,2005,5,2,NA
1,2014,3,2,NA
1,1971,5,1,NA
2,1973,5,1,NA
2,1995,6,1,NA
1,1999,6,1,NA
2,1964,6,2,NA
1,1959,5,2,889
2,1940,5,1,27
2,1929,2,1,27
1,1976,6,2,NA
2,1980,6,2,NA
2,2007,4,2,NA
2,2014,3,2,NA
1,1968,7,2,751
2,1970,5,2,200
2,1998,7,2,120
2,2001,5,2,NA
1,2007,4,2,NA
1,1954,7,1,NA
2,1956,5,1,NA
1,1983,5,1,0
1,1984,6,1,NA
1,1957,4,1,NA
2,1962,4,1,NA
2,1987,7,1,415
1,1984,6,2,386
2,1985,6,2,193
1,2012,3,2,NA
2,2014,3,2,NA
1,1940,7,2,NA
1,1953,7,1,97
2,1956,7,1,NA
1,1988,7,1,528
1,1991,7,1,290
1,1936,7,1,NA
1,1963,7,1,NA
2,1972,7,1,140
1,1994,7,1,678
2,1998,7,1,NA
1,1967,7,1,330
2,1968,7,1,646
1,1998,7,1,NA
2,2001,7,1,NA
1,1951,5,1,NA
2,1958,5,1,264
2,1991,7,1,318
2,1949,3,1,NA
1,1965,5,1,360
2,1966,5,1,102
2,1997,7,1,282
1,1957,5,1,NA
2,1962,5,2,NA
1,2002,7,2,NA
1,1974,7,7,NA
2,1977,8,7,NA
2,2005,5,7,NA
1,2011,3,7,NA
2,1935,3,1,NA
1,1957,7,1,234
2,1964,5,1,224
1,1990,6,1,NA
2,1992,7,1,376
1,1961,9,1,1527
2,1965,7,1,NA
2,2001,5,1,NA
2,1990,8,1,270
1,1988,8,1,1000
2,1949,4,6,27
2,1936,7,1,NA
1,1942,5,2,NA
2,1957,2,1,130
1,1980,5,1,392
2,1979,7,1,108
1,2008,4,1,NA
1,1965,5,2,NA
2,1966,5,2,NA
1,1999,6,2,NA
1,1972,7,2,1460
2,1975,7,2,192
2,2001,7,2,NA
1,2004,5,2,NA
2,2011,3,2,NA
2,1938,3,1,NA
1,1940,5,2,NA
2,1945,3,2,NA
2,1939,2,1,NA
1,1933,3,1,NA
2,1934,2,1,NA
1,1950,4,1,NA
2,1956,5,1,150
2,1983,7,1,350
2,1986,7,1,NA
1,1979,7,1,500
2,1978,8,1,NA
2,2012,3,1,NA
1,2014,3,1,NA
1,1930,7,1,NA
2,1939,3,1,NA
2,1940,2,1,NA
1,1942,5,2,27
2,1944,4,2,70
2,1949,3,1,NA
1,1981,6,1,435
2,1985,6,1,210
1,2011,3,1,NA
1,2014,3,1,NA
1,2016,1,1,NA
1,1948,4,1,195
2,1952,5,1,NA
